"frequency_hz","frequency_khz","ka","f_bs_real_acousticts","f_bs_imag_acousticts","sigma_bs_acousticts","TS_acousticts","f_bs_real_echopop","f_bs_imag_echopop","sigma_bs_echopop","TS_echopop","f_bs_real_zooscatr","f_bs_imag_zooscatr","sigma_bs_zooscatr","TS_zooscatr"
128000,128,0.536165146212658,-7.00097662581048e-06,-2.97844146759309e-09,4.90136825862582e-11,-103.096826660487,-7.00083036886197e-06,-2.96426821971289e-09,4.90116346404661e-11,-103.09700812617,-7.00097662581048e-06,-2.97844146759127e-09,4.90136825862583e-11,-103.096826660487
130000,130,0.544542726622231,-7.65320040168991e-06,-2.44872015942417e-09,5.8571482384657e-11,-102.323137842812,-7.65302835936619e-06,-2.43887290113e-09,5.85688490173641e-11,-102.323333105515,-7.65320040168991e-06,-2.44872015942341e-09,5.8571482384657e-11,-102.323137842812
132000,132,0.552920307031804,-8.21535571176366e-06,-1.86988996781924e-09,6.74920729672963e-11,-101.707472326316,-8.21515937869109e-06,-1.86502791952432e-09,6.74888470956254e-11,-101.70767990799,-8.21535571176366e-06,-1.86988996781942e-09,6.74920729672963e-11,-101.707472326316
134000,134,0.561297887441376,-8.677584777417e-06,-1.24800414701182e-09,7.53004791267737e-11,-101.232022604334,-8.67736625525348e-06,-1.24877589551157e-09,7.5296686687253e-11,-101.232241338272,-8.677584777417e-06,-1.24800414701049e-09,7.53004791267736e-11,-101.232022604334
136000,136,0.569675467850949,-9.03129043938198e-06,-5.89906744567909e-10,8.15642073484624e-11,-100.885003799869,-9.0310524512353e-06,-5.96936147054331e-10,8.15599087332958e-11,-100.885232688754,-9.03129043938198e-06,-5.89906744570857e-10,8.15642073484624e-11,-100.885003799869
138000,138,0.578053048260522,-9.26928785413374e-06,9.68393765764459e-11,8.59196973321692e-11,-100.659072615235,-9.26903374903946e-06,8.29685757800631e-11,8.59149866477163e-11,-100.659310730639,-9.26928785413374e-06,9.68393765768779e-11,8.59196973321691e-11,-100.659072615235
140000,140,0.586430628670095,-9.38593722134382e-06,8.04036924490778e-10,8.80958181694828e-11,-100.550447066733,-9.38567096808636e-06,7.82797621475182e-10,8.80908201339512e-11,-100.550693466718,-9.38593722134382e-06,8.04036924491006e-10,8.80958181694828e-11,-100.550447066733
142000,142,0.594808209079667,-9.37725523306475e-06,1.52295008632418e-09,8.79329180254172e-11,-100.55848514681,-9.37698140278007e-06,1.49388930977371e-09,8.79277824597885e-11,-100.558738796182,-9.37725523306476e-06,1.52295008632653e-09,8.79329180254173e-11,-100.55848514681
144000,144,0.60318578948924,-9.24100323486514e-06,2.24441088100694e-09,8.53961458241682e-11,-100.685617298387,-9.24072697203687e-06,2.20716803218064e-09,8.53910398433203e-11,-100.68587697821,-9.24100323486514e-06,2.24441088100618e-09,8.53961458241682e-11,-100.685617298387
146000,146,0.611563369898813,-8.97675042304163e-06,2.95893470065954e-09,8.05820569128727e-11,-100.937616511384,-8.97647740469139e-06,2.91326028790439e-09,8.05771550840206e-11,-100.937880701956,-8.97675042304162e-06,2.95893470065985e-09,8.05820569128725e-11,-100.937616511384
