"frequency","ka_viscous","ka_shell","ka_gas","f_bs","sigma_bs","TS"
88000,1.54649044728,0.375985808781626,0.368613538021202,0.000809882850167684+0.000549001653150321i,9.57313046157516e-07,-60.1894602252879
89000,1.56406420236273,0.380258374790509,0.372802328225989,6.60787362617436e-05-0.000973768267245698i,9.52591037680638e-07,-60.2109350880401
90000,1.58163795744545,0.384530940799391,0.376991118430775,-0.0008725289833145+0.000432472065706483i,9.48338914340268e-07,-60.2303642814318
91000,1.59921171252818,0.388803506808273,0.381179908635562,0.000811478361050042+0.000534884256889396i,9.44598298720584e-07,-60.2475284094959
92000,1.61678546761091,0.393076072817155,0.385368698840348,5.33501939020259e-05-0.000968800364994729i,9.41420390403303e-07,-60.2621639946076
93000,1.63435922269364,0.397348638826037,0.389557489045134,-0.000862723578199707+0.000441107908446006i,9.38868159275315e-07,-60.2739538933053
94000,1.65193297777636,0.401621204834919,0.393746279249921,0.000814627589453007+0.000522877742486626i,9.37019243085928e-07,-60.2825149013653
95000,1.66950673285909,0.405893770843801,0.397935069454707,4.18616698187552e-05-0.000966549232498457i,9.35969818243371e-07,-60.2873815551584
96000,1.68708048794182,0.410166336852683,0.402123859659494,-0.000856340292735784+0.000450023489076361i,9.35839837683269e-07,-60.2879847130695
97000,1.70465424302454,0.414438902861565,0.40631264986428,0.000820002228648888+0.000514175620469332i,9.36780223674166e-07,-60.283622862105
98000,1.72222799810727,0.418711468870448,0.410501440069066,3.24693276593878e-05-0.000968467167442969i,9.38982911653661e-07,-60.2734231129305
99000,1.73980175319,0.42298403487933,0.414690230273853,-0.00085547146324059+0.000459198996373744i,9.4269514268965e-07,-60.2562873064905
1e+05,1.75737550827273,0.427256600888212,0.418879020478639,0.000828886456428522+0.000511065050154891i,9.48240243140454e-07,-60.2308161724849
101000,1.77494926335545,0.431529166897094,0.423067810683425,2.68843751517689e-05-0.000977407700310782i,9.56048582254114e-07,-60.1952003819588
102000,1.79252301843818,0.435801732905976,0.427256600888212,-0.000864395850726118+0.000468534753200672i,9.66705001709345e-07,-60.1470603437168
103000,1.81009677352091,0.440074298914858,0.431445391092998,0.000843920685798765+0.000518480223237037i,9.81023865806987e-07,-60.0832042721515
104000,1.82767052860364,0.44434686492374,0.435634181297785,2.91156897837831e-05-0.00099966226814916i,1.00017237375271e-06,-59.9992514548167
105000,1.84524428368636,0.448619430932623,0.439822971502571,-0.000893271592844469+0.000477439247652679i,1.02588237378205e-06,-59.88902431959
106000,1.86281803876909,0.452891996941505,0.444011761707357,0.000871275761771869+0.000549283733997505i,1.06083407348539e-06,-59.7435253938328
107000,1.88039179385182,0.457164562950387,0.448200551912144,5.12294839169559e-05-0.00105203290578672i,1.10939769488045e-06,-59.5491274083842
108000,1.89796554893454,0.461437128959269,0.45238934211693,-0.000973120878757512+0.000481895457577816i,1.17918747670793e-06,-59.2841714178618
