"case","frequency_hz","frequency_khz","ka","f_bs_real","f_bs_imag","sigma_bs","TS"
"straight",160000,160,0.68050473779783,-0.000114708288363115,2.3321389818202e-06,1.31634302914262e-08,-78.806309220814
"straight",162000,162,0.689011047020303,-0.000116844935677394,2.43625880345561e-06,1.36586743504117e-08,-78.6459144928104
"straight",164000,164,0.697517356242775,-0.000118974554045527,2.54329346383064e-06,1.41614128519751e-08,-78.4889341591129
"straight",166000,166,0.706023665465248,-0.000121096156039149,2.65326013714558e-06,1.46713187968132e-08,-78.3353084590886
"straight",168000,168,0.714529974687721,-0.000123208755613854,2.76617402084317e-06,1.51880491786279e-08,-78.184980052923
"straight",170000,170,0.723036283910194,-0.000125311368470054,2.88204828526866e-06,1.57112452701563e-08,-78.0378939150208
"straight",172000,172,0.731542593132667,-0.000127403012412569,3.00089402408302e-06,1.62405329367409e-08,-77.8939972338991
"straight",174000,174,0.74004890235514,-0.000129482707708805,3.12272020546916e-06,1.67755229770854e-08,-77.753239318134
"straight",176000,176,0.748555211577613,-0.000131549477445403,3.24753362417251e-06,1.73158114907986e-08,-77.6155715079556
"straight",178000,178,0.757061520800086,-0.000133602347883206,3.37533885441715e-06,1.78609802722873e-08,-77.4809470921218
"straight",180000,180,0.765567830022558,-0.000135640348810435,3.5061382037402e-06,1.84105972305201e-08,-77.3493212297278
"straight",182000,182,0.774074139245031,-0.000137662513893923,3.63993166778738e-06,1.89642168341406e-08,-77.2206508766375
"straight",184000,184,0.782580448467504,-0.000139667881028294,3.77671688611285e-06,1.95213805813715e-08,-77.0948947162479
"straight",186000,186,0.791086757689977,-0.000141655492682951,3.91648909902786e-06,2.00816174941125e-08,-76.9720130943159
"straight",188000,188,0.79959306691245,-0.000143624396246751,4.05924110554296e-06,2.06444446355967e-08,-76.8519679576046
"straight",190000,190,0.808099376134923,-0.000145573644370235,4.20496322244769e-06,2.12093676509338e-08,-76.7347227961187
"straight",192000,192,0.816605685357396,-0.000147502295305301,4.35364324457535e-06,2.17758813298331e-08,-76.6202425887196
"straight",194000,194,0.825111994579869,-0.000149409413242191,4.50526640629631e-06,2.23434701907675e-08,-76.5084937519257
"straight",196000,196,0.833618303802341,-0.000151294068643674,4.6598153442877e-06,2.29116090857996e-08,-76.3994440917184
"straight",198000,198,0.842124613024814,-0.000153155338576308,4.81727006162522e-06,2.34797638252701e-08,-76.2930627581871
"straight",2e+05,200,0.850630922247287,-0.000154992307038663,4.97760789324385e-06,2.40473918215059e-08,-76.1893202028611
"straight",202000,202,0.85913723146976,-0.000156804065286397,5.14080347281403e-06,2.46139427506868e-08,-76.0881881385847
"straight",204000,204,0.867643540692233,-0.00015858971215407,5.30682870108085e-06,2.51788592319733e-08,-75.9896395018058
"straight",206000,206,0.876149849914706,-0.00016034835437358,5.47565271571119e-06,2.57415775229782e-08,-75.8936484171558
"straight",208000,208,0.884656159137179,-0.000162079106889128,5.64724186269851e-06,2.6301528230633e-08,-75.8001901642094
"straight",210000,210,0.893162468359652,-0.000163781093168598,5.82155966936912e-06,2.68581370364851e-08,-75.7092411463208
"straight",212000,212,0.901668777582124,-0.000165453445511251,5.99856681903778e-06,2.74108254354269e-08,-75.6207788614407
"straight",214000,214,0.910175086804597,-0.000167095305351632,6.17822112735874e-06,2.79590114868537e-08,-75.5347818748265
"straight",216000,216,0.91868139602707,-0.0001687058235596,6.36047752041744e-06,2.85021105772106e-08,-75.4512297935648
"straight",218000,218,0.927187705249543,-0.000170284160736376,6.54528801460896e-06,2.90395361928862e-08,-75.370103242832
"straight",220000,220,0.935694014472016,-0.000171829487506526,6.73260169834701e-06,2.9570700702384e-08,-75.2913838438246
"straight",222000,222,0.944200323694489,-0.000173340984805785,6.92236471564926e-06,3.00950161466958e-08,-75.2150541932975
"straight",224000,224,0.952706632916962,-0.000174817844164636,7.11452025164078e-06,3.06118950367821e-08,-75.141097844653
"straight",226000,226,0.961212942139434,-0.000176259267987565,7.30900852002013e-06,3.1120751157058e-08,-75.0694992905291
"straight",228000,228,0.969719251361907,-0.000177664469827897,7.50576675252948e-06,3.16210003737711e-08,-75.0002439468413
"straight",230000,230,0.97822556058438,-0.00017903267465816,7.70472919046897e-06,3.21120614471531e-08,-74.9333181382352
"straight",232000,232,0.986731869806853,-0.000180363119135875,7.90582707829786e-06,3.25933568462138e-08,-74.8687090849126
"straight",234000,234,0.995238179029326,-0.000181655051864717,8.10898865935894e-06,3.30643135650506e-08,-74.8064048907992
"straight",236000,236,1.0037444882518,-0.000182907733650973,8.3141391737658e-06,3.35243639395362e-08,-74.7463945330247
"straight",238000,238,1.01225079747427,-0.00018412043775523,8.52120085848968e-06,3.39729464632481e-08,-74.68866785269
"straight",240000,240,1.02075710669674,-0.000185292450139223,8.73009294968065e-06,3.44095066015064e-08,-74.633215546903
"straight",242000,242,1.02926341591922,-0.000186423069707806,8.94073168725763e-06,3.48334976023849e-08,-74.5800291620634
"straight",244000,244,1.03776972514169,-0.000187511608545954,9.15303032180058e-06,3.52443813035631e-08,-74.5291010883868
"straight",246000,246,1.04627603436416,-0.000188557392150773,9.36689912377443e-06,3.56416289338953e-08,-74.480424555657
