frequency,ka,acousticTS,echoSMs,sphereTS,noaa_applet
69000.0,5.59055907873973,-41.4078607335599,-41.407860733627516,-41.407860733559986,-41.40786073356192
70000.0,5.67158167408379,-41.0703300097683,-41.070330009905256,-41.07033000976841,-41.07033000977253
71000.0,5.75260426942784,-40.6883687633914,-40.68836876339113,-40.68836876338349,-40.68836876339114
72000.0,5.8336268647719,-40.3363903957968,-40.33639039579633,-40.33639039578336,-40.336390395796386
73000.0,5.91464946011595,-40.0668538213788,-40.06685382137812,-40.06685382135689,-40.06685382137817
74000.0,5.99567205546,-39.9111124419119,-39.91111244191071,-39.911112441911804,-39.91111244191078
75000.0,6.07669465080406,-39.884174134403,-39.88417413440117,-39.88417413440302,-39.884174134401285
76000.0,6.15771724614811,-39.9885241590621,-39.98852415905923,-39.9885241590622,-39.988524159059324
77000.0,6.23873984149217,-40.2155165263107,-40.21551652630605,-40.21551652631075,-40.21551652630613
78000.0,6.31976243683622,-40.5443219004785,-40.544321900471054,-40.544321900478565,-40.544321900471154
79000.0,6.40078503218028,-40.9392977087423,-40.93929770874261,-40.939297708754026,-40.93929770874261
80000.0,6.48180762752433,-41.3481696425983,-41.34816964259886,-41.348169642616256,-41.34816964259886
81000.0,6.56283022286838,-41.7058605468396,-41.7058605468404,-41.70586054686545,-41.7058605468404
82000.0,6.64385281821244,-41.9495429204951,-41.94954292049624,-41.949542920495006,-41.94954292049624
83000.0,6.72487541355649,-42.043644474497,-42.04364447449834,-42.04364447449686,-42.04364447449839
84000.0,6.80589800890054,-42.0001053081095,-42.000105308111074,-42.00010530810943,-42.000105308111095
85000.0,6.8869206042446,-41.877633296849,-41.87763329685059,-41.87763329684909,-41.87763329685051
86000.0,6.96794319958865,-41.7641954915571,-41.764195491558226,-41.76419549155722,-41.76419549155816
87000.0,7.04896579493271,-41.7657062280501,-41.76570622805006,-41.765706228050014,-41.76570622805013
